Ano;Mes;Categoria;Sub-categoria;Producto;Pais;Cadena;Marca;Marca_propia;Peso_Volumen;Promocion;Precio_Normal;Precio_Oferta
2022;Marzo;Aguas;Agua mineral;Agua con gas;UK;Tesco;Tesco Ashbeck;1;2,000;0;£0,50;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Carrefour;1;2,000;1;ARS55,00;ARS48,95
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Carrefour;1;2,000;1;ARS55,00;ARS54,01
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Eco de los Andes;0;0,500;0;ARS64,40;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Eco de los Andes;0;1,500;0;ARS67,89;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Eco de los Andes;0;1,500;0;ARS67,89;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Eco de los Andes;0;0,500;0;ARS64,40;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Kin;0;1,500;0;ARS54,00;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Kin;0;1,500;0;ARS54,00;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Nestlé;0;1,500;0;ARS63,98;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Nestlé;0;1,500;0;ARS63,98;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Ser;0;2,250;0;ARS79,59;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Ser;0;2,250;0;ARS79,59;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Sierra de los Padres;0;2,000;0;ARS67,60;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Sierra de los Padres;0;2,000;0;ARS67,60;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Villavicencio;0;0,500;0;ARS61,80;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Villavicencio;0;1,500;0;ARS82,52;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Villavicencio;0;2,000;0;ARS94,60;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Villavicencio;0;2,000;0;ARS94,60;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Villavicencio;0;1,500;0;ARS74,27;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Carrefour;Villavicencio;0;0,500;0;ARS61,80;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Cuisine & Co.;1;2;0;ARS65,00;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Cuisine & Co.;1;2;0;ARS65,00;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Levite;0;2,25;0;ARS83,70;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Levite;0;2,25;0;ARS92,07;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Nihuil;0;2;0;ARS47,75;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Nihuil;0;2;0;ARS47,75;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Ser;0;2,25;0;ARS78,49;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Ser;0;2,25;0;ARS78,49;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Villavicencio;0;0,5;0;ARS56,27;
2021;Diciembre;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Villavicencio;0;2;0;ARS82,60;
2022;Marzo;Aguas;Agua mineral;Agua sin gas;Argentina;Jumbo;Villavicencio;0;2;0;ARS82,60;
